,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__max_iter,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
508,0.7427675127983093,0.038269687433485605,0.009998202323913574,0.001236216845949287,0.09,200,l2,sag,"{'clf__C': 0.09, 'clf__max_iter': 200, 'clf__penalty': 'l2', 'clf__solver': 'sag'}",0.8101785714285714,0.8083928571428571,0.8075,0.8065079365079365,0.8081448412698412,0.001350263649684142,50
89,0.6271640658378601,0.016243762227658956,0.009966611862182617,0.0009965896749040155,0.02,200,l2,saga,"{'clf__C': 0.02, 'clf__max_iter': 200, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.8089285714285714,0.8065079365079365,0.8078373015873016,0.8091865079365079,0.8081150793650793,0.0010570947424581327,51
29,0.6114808917045593,0.02513164443353645,0.01089012622833252,0.00012629530837237338,0.01,200,l2,saga,"{'clf__C': 0.01, 'clf__max_iter': 200, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.8117460317460318,0.8088690476190477,0.8074206349206349,0.8043849206349206,0.8081051587301586,0.002652745129264511,52
18,0.8902769088745117,0.05378674328422703,0.010465085506439209,0.0004983596319003601,0.01,100,none,sag,"{'clf__C': 0.01, 'clf__max_iter': 100, 'clf__penalty': 'none', 'clf__solver': 'sag'}",0.8127579365079365,0.8093055555555555,0.8051587301587302,0.8050793650793651,0.8080753968253969,0.0031985394732447284,53
175,0.3251658082008362,0.008952617456965375,0.012231647968292236,0.002745418306059006,0.03,300,none,lbfgs,"{'clf__C': 0.03, 'clf__max_iter': 300, 'clf__penalty': 'none', 'clf__solver': 'lbfgs'}",0.8103373015873016,0.8079761904761905,0.8069642857142857,0.8070039682539683,0.8080704365079365,0.0013700806287916948,54
686,0.5102518200874329,0.019363955430681992,0.012723565101623535,0.0018918981055105518,0.12,200,l2,newton-cg,"{'clf__C': 0.12, 'clf__max_iter': 200, 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.8119047619047619,0.8079960317460317,0.8074603174603174,0.8049007936507937,0.8080654761904762,0.0025063105350515307,55
616,0.4903790354728699,0.015024289584316756,0.012245655059814453,0.0008142112113918248,0.11,100,none,newton-cg,"{'clf__C': 0.11, 'clf__max_iter': 100, 'clf__penalty': 'none', 'clf__solver': 'newton-cg'}",0.8099007936507937,0.8093452380952381,0.8058730158730159,0.8070833333333334,0.8080505952380953,0.001641400452169271,56
306,0.4916554093360901,0.024889310576979774,0.01295614242553711,0.0018626327018321884,0.060000000000000005,100,l2,newton-cg,"{'clf__C': 0.060000000000000005, 'clf__max_iter': 100, 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.811686507936508,0.8087698412698413,0.8053571428571429,0.8063888888888889,0.8080505952380952,0.0024368591323726523,57
165,0.31830763816833496,0.003292550615935066,0.01073223352432251,0.00040459103821778076,0.03,300,l2,lbfgs,"{'clf__C': 0.03, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.8121428571428572,0.8114880952380953,0.8037301587301587,0.8048214285714286,0.808045634920635,0.0037965973024667245,58
699,0.6500128507614136,0.027974229376794495,0.010465085506439209,0.003190969521038229,0.12,200,none,saga,"{'clf__C': 0.12, 'clf__max_iter': 200, 'clf__penalty': 'none', 'clf__solver': 'saga'}",0.8108928571428572,0.8103769841269841,0.8044444444444444,0.8064285714285714,0.8080357142857143,0.00269837622524373,59
