,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
185,0.3862207531929016,0.0104730321031419,0.014451086521148682,0.000863175843615091,8,8,20,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 20}",0.7974404761904762,0.845218253968254,0.8300992063492063,0.7541666666666667,0.8067311507936508,0.03491656038808134,391
248,0.3995482921600342,0.019272376245102984,0.014451801776885986,0.0011145143339825433,9,9,23,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 23}",0.7970039682539682,0.7995238095238095,0.8131746031746032,0.816329365079365,0.8065079365079365,0.008366724955604867,392
253,0.43179231882095337,0.007694938992382849,0.014716506004333496,0.0014975457984737273,10,5,18,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 18}",0.8046230158730159,0.8150396825396825,0.808015873015873,0.7981349206349206,0.8064533730158729,0.006097396468437201,393
421,0.45146316289901733,0.010133243277681026,0.017458319664001465,0.0016578199483384887,13,7,16,"{'clf__max_depth': 13, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 16}",0.820595238095238,0.8043849206349206,0.8099801587301587,0.7907142857142857,0.8064186507936508,0.010775239060060851,394
354,0.4342997074127197,0.013279289552128228,0.01569455862045288,0.0010855112600038474,12,5,19,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 19}",0.8111706349206349,0.8065277777777777,0.8025595238095238,0.8053769841269841,0.8064087301587302,0.003105269661794544,395
143,0.37331098318099976,0.008316878913970727,0.015079200267791748,0.0018758321261653243,7,9,18,"{'clf__max_depth': 7, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 18}",0.8144444444444444,0.819047619047619,0.780813492063492,0.8104960317460318,0.8062003968253968,0.014966319293113508,396
409,0.45062166452407837,0.015938163416976018,0.015448451042175293,0.0008631409589117264,13,5,24,"{'clf__max_depth': 13, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 24}",0.8211309523809524,0.7866071428571428,0.8017460317460318,0.815218253968254,0.8061755952380951,0.013303925600140983,397
258,0.4108744263648987,0.005522575255921428,0.013939440250396729,0.0009826681740783883,10,5,23,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 23}",0.7765674603174603,0.7916071428571428,0.8416468253968254,0.8140674603174604,0.8059722222222222,0.024541830205410387,398
333,0.4325335621833801,0.01279204479093675,0.014700889587402344,0.0008263285795643036,11,8,18,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 18}",0.7934920634920635,0.8173611111111111,0.8316468253968254,0.7813492063492063,0.8059623015873015,0.019690980912803472,399
283,0.40464699268341064,0.007082041575499912,0.01445084810256958,0.0004965701089899634,10,8,18,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 18}",0.8007341269841269,0.7939285714285714,0.8029166666666666,0.8261111111111111,0.805922619047619,0.012118050479503076,400
247,0.4020887017250061,0.010666721823204918,0.013706862926483154,0.00043026655187588955,9,9,22,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 22}",0.813015873015873,0.7972619047619047,0.8193849206349206,0.793968253968254,0.8059077380952381,0.010600256441522495,401
367,0.42682045698165894,0.02240197393656301,0.015946686267852783,0.0015760482260490682,12,6,22,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 22}",0.7806150793650793,0.8253174603174603,0.8309920634920634,0.7866468253968254,0.8058928571428571,0.022453625293050238,402
196,0.40153515338897705,0.012876274791244697,0.014202415943145752,0.0012944129506588396,8,9,21,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 21}",0.8187301587301588,0.7880555555555555,0.7973015873015873,0.8188888888888889,0.8057440476190476,0.013468331573468575,403
371,0.4470542073249817,0.019907531675591405,0.01617145538330078,0.001645965860353447,12,7,16,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 16}",0.8007936507936508,0.8072817460317461,0.8247222222222222,0.7899404761904761,0.8056845238095238,0.01261725756620923,404
290,0.4176235795021057,0.019060777752713365,0.015182137489318848,0.00044177085748585486,10,9,15,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 15}",0.8165079365079365,0.7736507936507937,0.8251785714285714,0.8074007936507936,0.8056845238095238,0.019533750312371184,404
288,0.4207068085670471,0.008758606683230499,0.014702141284942627,0.001915359574640337,10,8,23,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 23}",0.8167460317460318,0.7977380952380952,0.8083730158730159,0.7998809523809524,0.8056845238095238,0.007523498451057124,404
259,0.411696195602417,0.013632448128879635,0.01760280132293701,0.0027540727119810243,10,5,24,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 24}",0.7906746031746031,0.8217460317460318,0.8337301587301588,0.7765674603174603,0.8056795634920635,0.023008860688572386,407
63,0.37255197763442993,0.012931224812310377,0.015197575092315674,0.002761947803921182,6,6,18,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 18}",0.7810317460317461,0.8070833333333334,0.825297619047619,0.8090873015873016,0.805625,0.015858391700707877,408
24,0.3515087962150574,0.008339849089433034,0.014451563358306885,0.0028627452701551286,5,7,19,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 19}",0.8328968253968254,0.8151785714285714,0.7929761904761905,0.7813095238095238,0.8055902777777779,0.019913896716389493,409
236,0.4036484956741333,0.007358857922851041,0.013953328132629395,0.0017259374746890236,9,8,21,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 21}",0.7987896825396825,0.7957142857142857,0.8072817460317461,0.8197222222222222,0.8053769841269842,0.009302879349154943,410
